Move [172 - Client]: White Horse (0, 6) --> (2, 7)
Move [173 - Random]: Black Queen (1, 4) --> (1, 3)
Move [174 - Client]: White Horse (2, 7) --> (0, 6)
Move [175 - Random]: Black King (6, 5) --> (7, 4)
Move [176 - Client]: White Queen (2, 5) --> (6, 5)
Move [177 - Random]: Black Queen (1, 3) --> (1, 2) eaten White Pawn
Move [178 - Client]: White Horse (0, 6) --> (2, 7)
Move [179 - Random]: Black Queen (1, 2) --> (1, 5) eaten White Pawn
Move [180 - Client]: White Horse (2, 7) --> (0, 6)
Move [181 - Random]: Black Pawn (4, 3) --> (3, 4) eaten White Pawn
Move [182 - Client]: White Horse (0, 6) --> (2, 7)
Move [183 - Random]: Black Queen (1, 5) --> (1, 1)
Move [184 - Client]: White Horse (2, 7) --> (0, 6)
Move [185 - Random]: Black Queen (1, 1) --> (3, 3) eaten White Pawn
Move [186 - Client]: White Horse (0, 6) --> (2, 7)
Move [187 - Random]: Black Queen (3, 3) --> (2, 2)
Move [188 - Client]: White Horse (2, 7) --> (0, 6)
Move [189 - Random]: Black Queen (2, 2) --> (3, 3)
Move [190 - Client]: White Horse (0, 6) --> (2, 7)
Move [191 - Random]: Black Queen (3, 3) --> (1, 3)
Move [192 - Client]: White Horse (2, 7) --> (0, 6)
Move [193 - Random]: Black King (7, 4) --> (7, 5)
Move [194 - Client]: White Horse (0, 6) --> (2, 7)
Move [195 - Random]: Black Queen (1, 3) --> (4, 0)
Move [196 - Client]: White Horse (2, 7) --> (0, 6)
Move [197 - Random]: Black Queen (4, 0) --> (4, 4)
Move [198 - Client]: White Horse (0, 6) --> (2, 7)
Move [199 - Random]: Black Tower (1, 0) --> (0, 0)
Move [200 - Client]: White Horse (2, 7) --> (0, 6)
Move [201 - Random]: Black Queen (4, 4) --> (4, 1)
Move [202 - Client]: White Horse (0, 6) --> (2, 7)
Move [203 - Random]: Black Pawn (3, 2) --> (2, 2)
Move [204 - Client]: White Horse (2, 7) --> (0, 6)
Move [205 - Random]: Black King (7, 5) --> (7, 6)
Move [206 - Client]: White Horse (0, 6) --> (2, 7)
Move [207 - Random]: Black Queen (4, 1) --> (4, 4)
Move [208 - Client]: White Horse (2, 7) --> (0, 6)
Move [209 - Random]: Black Queen (4, 4) --> (2, 6)
Move [210 - Client]: White Horse (0, 6) --> (2, 7)
Move [211 - Random]: Black Tower (0, 0) --> (0, 5)
Move [212 - Client]: White Horse (2, 7) --> (0, 6)
Move [213 - Random]: Black Pawn (2, 2) --> (1, 2)
Move [214 - Client]: White Horse (0, 6) --> (2, 7)
Move [215 - Random]: Black Tower (0, 5) --> (3, 5)
Move [216 - Client]: White Horse (2, 7) --> (0, 6)
Move [217 - Random]: Black Pawn (2, 0) --> (1, 0)
Move [218 - Client]: White Horse (0, 6) --> (2, 7)
Move [219 - Random]: Black Queen (2, 6) --> (1, 5)
Move [220 - Client]: White Horse (2, 7) --> (0, 6)
Move [221 - Random]: Black Tower (3, 5) --> (3, 6)
Move [222 - Client]: White Horse (0, 6) --> (2, 7)
Move [223 - Random]: Black Tower (3, 6) --> (2, 6)
Move [224 - Client]: White Horse (2, 7) --> (0, 6)
Move [225 - Random]: Black Queen (1, 5) --> (1, 4)
Move [226 - Client]: White Horse (0, 6) --> (2, 7)
Move [227 - Random]: Black Queen (1, 4) --> (0, 5)
Move [228 - Client]: White Horse (2, 7) --> (0, 6)
Move [229 - Random]: Black Queen (0, 5) --> (1, 5)
Move [230 - Client]: White Horse (0, 6) --> (2, 7)
Move [231 - Random]: Black Tower (2, 6) --> (2, 7) eaten White Horse
Move [232 - Client]: White Queen (6, 5) --> (7, 5)
Move [233 - Random]: Black Tower (2, 7) --> (5, 7)
Move [234 - Client]: White Queen (7, 5) --> (6, 5)
Move [235 - Random]: Black Pawn (1, 2) --> (-1, 7)
Move [236 - Client]: White Queen (6, 5) --> (7, 5)
Move [237 - Random]: Black Queen (0, 2) --> (1, 5) eaten Black Queen
Move [238 - Client]: White Queen (7, 5) --> (6, 5)
Move [239 - Random]: Black Queen (1, 5) --> (4, 2) eaten Black Queen
Move [240 - Client]: White Horse (5, 4) --> (4, 2) eaten Black Queen
Move [241 - Random]: Black Tower (5, 7) --> (3, 7)
Move [242 - Client]: White King (2, 4) --> (3, 4) eaten Black Pawn
Move [243 - Random]: Black Tower (3, 7) --> (7, 7)
Move [244 - Client]: White King (3, 4) --> (4, 4)
Move [245 - Random]: Black Queen (6, 5) --> (4, 3)
Move [246 - Client]: White King (4, 4) --> (4, 3) eaten Black Queen
Move [247 - Random]: Black Tower (7, 7) --> (2, 7)
Move [248 - Client]: White Horse (4, 2) --> (3, 4)
Move [249 - Random]: Black Tower (2, 7) --> (2, 3)
Move [250 - Client]: White Horse (3, 4) --> (5, 5)
Move [251 - Random]: Black King (7, 6) --> (6, 7)
Move [252 - Client]: White King (4, 3) --> (3, 3)
Move [253 - Random]: Black Tower (2, 3) --> (1, 3)
Move [254 - Client]: White King (3, 3) --> (2, 3)
Move [255 - Random]: Black King (6, 7) --> (7, 7)
Move [256 - Client]: White King (2, 3) --> (1, 3) eaten Black Tower
Move [257 - Random]: Black Pawn (1, 0) --> (-1, 7) eaten Black King
Move [258 - Client]: White King (1, 3) --> (2, 3)
Move [259 - Random]: Black Queen (0, 0) --> (3, 3)
Move [260 - Client]: White King (2, 3) --> (3, 3) eaten Black Queen
Move [261 - Random]: Black King (7, 7) --> (7, 6)
Move [262 - Client]: White King (3, 3) --> (2, 3)
Move [263 - Random]: Black King (7, 6) --> (6, 7)
Move [264 - Client]: White King (2, 3) --> (1, 3)
Move [265 - Random]: Black King (6, 7) --> (5, 7)
Move [266 - Client]: White Horse (5, 5) --> (3, 6)
Move [267 - Random]: Black King (5, 7) --> (5, 6)
Move [268 - Client]: White Horse (3, 6) --> (4, 4)
Move [269 - Random]: Black King (5, 6) --> (5, 7)
Move [270 - Client]: White Horse (4, 4) --> (3, 6)
Move [271 - Random]: Black King (5, 7) --> (4, 6)
Move [272 - Client]: White Pawn (1, 7) --> (3, 7)
Move [273 - Random]: Black King (4, 6) --> (4, 5)
Move [274 - Client]: White Horse (3, 6) --> (5, 7)
Move [275 - Random]: Black King (4, 5) --> (3, 5)
Move [276 - Client]: White King (1, 3) --> (2, 4)
Move [277 - Random]: Black King (3, 5) --> (3, 6)
Move [278 - Client]: White King (2, 4) --> (1, 4)
Move [279 - Random]: Black King (3, 6) --> (3, 5)
Move [280 - Client]: White King (1, 4) --> (2, 4)
Move [281 - Random]: Black King (3, 5) --> (4, 6)
Move [282 - Client]: White King (2, 4) --> (1, 4)
Move [283 - Random]: Black King (4, 6) --> (5, 5)
Move [284 - Client]: White Horse (5, 7) --> (3, 6)
Move [285 - Random]: Black King (5, 5) --> (5, 6)
Move [286 - Client]: White Horse (3, 6) --> (4, 4)
Move [287 - Random]: Black King (5, 6) --> (4, 5)
Move [288 - Client]: White King (1, 4) --> (2, 4)
Move [289 - Random]: Black King (4, 5) --> (5, 4)
Move [290 - Client]: White King (2, 4) --> (3, 4)
Move [291 - Random]: Black King (5, 4) --> (6, 4)
Move [292 - Client]: White Horse (4, 4) --> (5, 6)
Move [293 - Random]: Black King (6, 4) --> (5, 5)
Move [294 - Client]: White King (3, 4) --> (4, 4)
Move [295 - Random]: Black King (5, 5) --> (4, 4) eaten White King
Player 1 - Random: Black wins. Game finished. 
